name,slug,logo_source,cover_source,action
"99er Cycle Tour","99er-cycle-tour","none","existing","skip"
"Absa Cape Epic","absa-cape-epic","none","existing","skip"
"Amashova Durban Classic","amashova-durban-classic","existing","existing","skip"
"Berg & Bush MTB Stage Race","berg-and-bush","none","placeholder-url","placeholder"
"Bloemfontein Cycle Club","bloemfontein-cycle-club","none","placeholder-url","placeholder"
"Cape Pioneer Trek","cape-pioneer-trek","none","placeholder-url","placeholder"
"Cape Town Cycle Tour Trust","cape-town-cycle-tour-trust","none","placeholder-url","placeholder"
"Chain Gang Events","chaingang-events","existing","scraped-og","updated"
"Cow and Bull MTB & Gravel Endurance","cow-and-bull-mtb","none","placeholder-url","placeholder"
"Cycling South Africa (CSA)","cycling-south-africa","existing","scraped-og","updated"
"Darling Brew MTB Events","darling-brew-cycling-events","none","scraped-og","updated"
"Dryland Event Management","dryland-events","existing","placeholder-url","placeholder"
"East Coast Cycling Club","east-coast-cycling-club","existing","placeholder-url","placeholder"
"Euro Steel Drak Descent","euro-steel-drak-descent","none","placeholder-url","placeholder"
"FatTracks MTB Club","fattracks-mtb-club","existing","scraped-og","updated"
"Fedgroup Trails — Cradle 100","fedgroup-trails-cradle-100","none","placeholder-url","placeholder"
"Ford Trailseeker MTB Series","ford-trailseeker-mtb-series","none","placeholder-url","placeholder"
"Free State Cycle Tour","free-state-cycle-tour","existing","placeholder-url","placeholder"
"Freedom Challenge","freedom-challenge","none","scraped-og","updated"
"Funtrax MTB Club","funtrax-mtb-club-east-london","none","placeholder-url","placeholder"
"Golden Gate MTB Challenge","golden-gate-mtb-challenge","none","placeholder-url","placeholder"
"GravDuro","gravduro-event","none","scraped-og","updated"
"Imana Wild Ride","imana-wild-ride","none","placeholder-url","placeholder"
"Investec Great Kei Trek","investec-great-kei-trek","none","scraped-og","updated"
"K2K MTB East London","k2k-mtb-east-london","none","placeholder-url","placeholder"
"KAP Sani2C","kap-sani2c","existing","placeholder-url","placeholder"
"Karkloof Trail Festival","karkloof-trail-festival","none","placeholder-url","placeholder"
"Lenick Promotions","lenick-promotions","existing","placeholder-url","placeholder"
"M&G Investments PE Plett","pe-plett-the-tour","none","scraped-og","updated"
"Munga Grit: Trans Xhariep","munga-grit-trans-xhariep","none","scraped-og","updated"
"MyActive Events","myactive-events","none","placeholder-url","placeholder"
"Oryx Endurance","oryx-endurance","existing","placeholder-url","placeholder"
"Pedal Power Association","pedal-power-association","existing","scraped-og","updated"
"ROR Events","ror-events","existing","placeholder-url","placeholder"
"Race2TheSky","race2thesky","none","placeholder-url","placeholder"
"Racepass","racepass-events","existing","placeholder-url","placeholder"
"Red Cherry Events","red-cherry-events","existing","scraped-og","updated"
"Ride The Karoo","ride-the-karoo","none","scraped-og","updated"
"Ride the Midlands","ride-the-midlands-kzn","none","scraped-og","updated"
"Ronde Series Events","ronde-series-events","none","placeholder-url","placeholder"
"Sandstone Unbound","sandstone-unbound","none","placeholder-url","placeholder"
"Sungazer 100 Miler MTB","sungazer-100-miler","existing","placeholder-url","placeholder"
"The 36ONE MTB Challenge","the-36one-mtb-challenge","none","scraped-og","updated"
"The Gallows Gravel Race","the-gallows-gravel-race","none","scraped-og","updated"
"The Herald Cycle Tour","herald-cycle-tour","existing","scraped-og","updated"
"The Munga","the-munga","none","scraped-og","updated"
"UMKO Adventure MTB","umko-adventure-mtb","none","placeholder-url","placeholder"
"Weekend Warrior Stellenbosch","weekend-warrior-stellenbosch","existing","scraped-og","updated"
"Wine Lands Cycling Club","wine-lands-cycling-club","existing","scraped-og","updated"
